========================================
absc2h5+h_B2_Energy_1_34.9759.out
--
T,P1->P2
250.0,3.99543e-11
260.0,3.97558e-11
270.0,3.95665e-11
280.0,3.93853e-11
290.0,3.92117e-11
300.0,3.90452e-11
310.0,3.88853e-11
320.0,3.8732e-11
330.0,3.8585e-11
340.0,3.84442e-11
350.0,3.83095e-11
360.0,3.81807e-11
370.0,3.80579e-11
380.0,3.79408e-11
390.0,3.78293e-11
400.0,3.77235e-11
410.0,3.76231e-11
420.0,3.75281e-11
430.0,3.74384e-11
440.0,3.73539e-11
450.0,3.72744e-11
460.0,3.71999e-11
470.0,3.71303e-11
480.0,3.70654e-11
490.0,3.70053e-11
500.0,3.69497e-11
510.0,3.68986e-11
520.0,3.68519e-11
530.0,3.68096e-11
540.0,3.67715e-11
550.0,3.67375e-11
560.0,3.67076e-11
570.0,3.66816e-11
580.0,3.66595e-11
590.0,3.66413e-11
600.0,3.66267e-11
610.0,3.66158e-11
620.0,3.66085e-11
630.0,3.66046e-11
640.0,3.66042e-11
650.0,3.6607e-11
660.0,3.66131e-11
670.0,3.66224e-11
680.0,3.66348e-11
690.0,3.66502e-11
700.0,3.66686e-11
800.0,3.70018e-11
900.0,3.75712e-11
1000.0,3.83401e-11
1100.0,3.92804e-11
1200.0,4.03669e-11
1300.0,4.15752e-11
1400.0,4.28853e-11
1500.0,4.42829e-11
1600.0,4.576e-11
1700.0,4.73135e-11
1800.0,4.89431e-11
1900.0,5.06492e-11
2000.0,5.24311e-11
2100.0,5.42868e-11
2200.0,5.62126e-11
2300.0,5.82033e-11
2400.0,6.02531e-11
2500.0,6.23559e-11
2600.0,6.45059e-11
2700.0,6.66981e-11
2800.0,6.89285e-11
2900.0,7.11942e-11
3000.0,7.34933e-11
========================================
absc2h5+h_B2_Frequencies_1_0.1.out
--
T,P1->P2
200.0,3.20042e-11
210.0,3.21683e-11
220.0,3.23164e-11
230.0,3.24489e-11
240.0,3.25664e-11
250.0,3.26697e-11
260.0,3.276e-11
270.0,3.28386e-11
280.0,3.29066e-11
290.0,3.29652e-11
300.0,3.30155e-11
310.0,3.30588e-11
320.0,3.30959e-11
330.0,3.31278e-11
340.0,3.31553e-11
350.0,3.31791e-11
360.0,3.31999e-11
370.0,3.32183e-11
380.0,3.32348e-11
390.0,3.325e-11
400.0,3.32641e-11
410.0,3.32775e-11
420.0,3.32906e-11
430.0,3.33037e-11
440.0,3.3317e-11
450.0,3.33307e-11
460.0,3.33451e-11
470.0,3.33602e-11
480.0,3.33763e-11
490.0,3.33935e-11
500.0,3.34119e-11
510.0,3.34317e-11
520.0,3.34528e-11
530.0,3.34754e-11
540.0,3.34996e-11
550.0,3.35254e-11
560.0,3.35528e-11
570.0,3.3582e-11
580.0,3.36129e-11
590.0,3.36456e-11
600.0,3.36801e-11
610.0,3.37164e-11
620.0,3.37545e-11
630.0,3.37945e-11
640.0,3.38363e-11
650.0,3.38799e-11
660.0,3.39253e-11
670.0,3.39726e-11
680.0,3.40216e-11
690.0,3.40724e-11
700.0,3.41251e-11
800.0,3.4746e-11
900.0,3.55282e-11
1000.0,3.64584e-11
1100.0,3.75239e-11
1200.0,3.87091e-11
1300.0,3.99966e-11
1400.0,4.13712e-11
1500.0,4.28219e-11
1600.0,4.43431e-11
1700.0,4.59335e-11
1800.0,4.75938e-11
1900.0,4.93253e-11
2000.0,5.11283e-11
2100.0,5.30014e-11
2200.0,5.49414e-11
2300.0,5.69437e-11
2400.0,5.90029e-11
2500.0,6.11133e-11
2600.0,6.32694e-11
2700.0,6.54665e-11
2800.0,6.77008e-11
2900.0,6.99695e-11
3000.0,7.22708e-11
========================================
absc2h5+h_B2_SymmetryFactor_1_0.1.out
--
T,P1->P2
200.0,3.20019e-11
210.0,3.21663e-11
220.0,3.23148e-11
230.0,3.24475e-11
240.0,3.25651e-11
250.0,3.26686e-11
260.0,3.27591e-11
270.0,3.28378e-11
280.0,3.29058e-11
290.0,3.29645e-11
300.0,3.3015e-11
310.0,3.30583e-11
320.0,3.30955e-11
330.0,3.31274e-11
340.0,3.31549e-11
350.0,3.31788e-11
360.0,3.31996e-11
370.0,3.32181e-11
380.0,3.32346e-11
390.0,3.32498e-11
400.0,3.32639e-11
410.0,3.32774e-11
420.0,3.32905e-11
430.0,3.33036e-11
440.0,3.33169e-11
450.0,3.33306e-11
460.0,3.3345e-11
470.0,3.33601e-11
480.0,3.33763e-11
490.0,3.33935e-11
500.0,3.34119e-11
510.0,3.34316e-11
520.0,3.34527e-11
530.0,3.34754e-11
540.0,3.34995e-11
550.0,3.35253e-11
560.0,3.35528e-11
570.0,3.3582e-11
580.0,3.36129e-11
590.0,3.36456e-11
600.0,3.36801e-11
610.0,3.37164e-11
620.0,3.37545e-11
630.0,3.37945e-11
640.0,3.38363e-11
650.0,3.38799e-11
660.0,3.39253e-11
670.0,3.39725e-11
680.0,3.40216e-11
690.0,3.40724e-11
700.0,3.41251e-11
800.0,3.4746e-11
900.0,3.55282e-11
1000.0,3.64584e-11
1100.0,3.75239e-11
1200.0,3.87091e-11
1300.0,3.99966e-11
1400.0,4.13712e-11
1500.0,4.28219e-11
1600.0,4.43431e-11
1700.0,4.59335e-11
1800.0,4.75938e-11
1900.0,4.93253e-11
2000.0,5.11283e-11
2100.0,5.30014e-11
2200.0,5.49414e-11
2300.0,5.69437e-11
2400.0,5.90029e-11
2500.0,6.11133e-11
2600.0,6.32694e-11
2700.0,6.54665e-11
2800.0,6.77008e-11
2900.0,6.99695e-11
3000.0,7.22708e-11
